Year,Month,Day,Y
2017,1,10,276.615967
2017,1,11,285.646393
2017,1,12,294.676819
2017,1,13,287.072235
2017,1,16,278.51712
2017,1,17,282.319397
2017,1,18,277.566528
2017,1,19,273.288971
2017,1,20,299.429657
2017,1,23,291.349823
2017,1,24,292.775665
2017,2,2,319.391632
2017,2,3,309.885925
2017,2,6,299.429657
2017,2,7,301.806091
2017,2,8,301.806091
2017,2,9,301.330811
2017,2,10,313.688202
2017,2,13,307.509491
2017,2,14,311.787079
2017,2,15,324.144501
2017,2,16,318.441071
2017,2,17,316.539917
2017,2,18,null
2017,2,20,318.441071
2017,2,21,310.361206
2017,2,22,307.03421
2017,2,23,303.231934
2017,2,24,308.935364
2017,3,1,303.231934
2017,3,2,307.03421
2017,3,3,299.904938
2017,3,6,299.429657
2017,3,7,294.676819
2017,3,8,293.726227
2017,3,9,304.657806
2017,3,10,303.231934
2017,3,13,313.212921
2017,3,14,307.984802
2017,3,15,305.133087
2017,3,16,312.26236
2017,3,17,323.669189
2017,3,20,320.342194
2017,3,21,325.095062
2017,3,22,323.193909
2017,3,23,318.916351
2017,3,24,314.163513
2017,3,27,309.410645
2017,3,28,307.984802
2017,3,29,321.292786
2017,3,30,308.935364
2017,3,31,304.182495
2017,4,5,304.182495
2017,4,6,300.380219
2017,4,7,307.03421
2017,4,10,310.836487
2017,4,11,290.874512
2017,4,12,293.726227
2017,4,13,284.22052
2017,4,14,256.178711
2017,4,17,260.931549
2017,4,18,270.912537
2017,4,19,270.437256
2017,4,20,280.418243
2017,4,21,281.368835
2017,4,24,285.646393
2017,4,25,285.171112
2017,4,26,288.498108
2017,4,27,288.498108
2017,4,28,297.528503
2017,5,2,290.874512
2017,5,3,288.973389
2017,5,4,297.528503
2017,5,5,298.479095
2017,5,8,293.726227
2017,5,9,302.281372
2017,5,10,300.855499
2017,5,11,309.410645
2017,5,12,309.410645
2017,5,15,305.133087
2017,5,16,308.935364
2017,5,17,303.231934
2017,5,18,299.429657
2017,5,19,304.182495
2017,5,22,299.904938
2017,5,23,299.429657
2017,5,24,308.935364
2017,5,25,308.460083
2017,5,26,305.608368
2017,5,31,299.429657
2017,6,1,298.954376
2017,6,2,304.657806
2017,6,3,null
2017,6,5,314.163513
2017,6,6,313.688202
2017,6,7,314.163513
2017,6,8,310.836487
2017,6,9,299.904938
2017,6,12,300.855499
2017,6,13,296.102661
2017,6,14,289.448669
2017,6,15,284.22052
2017,6,16,307.03421
2017,6,19,304.182495
2017,6,20,302.756653
2017,6,21,303.707214
2017,6,22,305.133087
2017,6,23,303.707214
2017,6,26,304.182495
2017,6,27,301.330811
2017,6,28,301.330811
2017,6,29,299.429657
